Age;Sexe;Situation_Pro;Duree_LM;Budget_LM;Type_Voyage;Dimache_Type;Pref_Destinations_TropicalesSoleil;Pref_Destinations_HistoireCulture ;Pref_Destinations_SportAventure;Pref_Destinations_CalmesIsoles;Pref_Destinations_VillesDynamiquesModernes;Pref_Destinations_ConfortLuxe;Budget_LM_ExperiencesUniques;Budget_LM_HebergementEconomiques_Activites;Pref_Destinations_GastronomieLocale;Budget_LM_Cout_ActivitesExcursions;Pref_Nature;Pref_ActivitesCulturelles;Pref_Bien-etre;Pref_VieNocturne;Accessoire_LM;Pref_Destinations_HiverVersChaudes;Pref_Destinations_Calmes;Pref_Destinations_Similaires;Pref_Activites_Similaires;Pref_Budget_Similaires;Destination_LM
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;4;4;4;2;5;5;2;4;5;4;2;5;4; Une huile de massage parfumee et sensuelle;5;3;5;5;4;La Malaisie
18-24 ans;Homme;Etudiant;1 a 2 semaines;moins de 2000?;Sejour tout inclus;Faire une seance de sport;5;5;4;4;2;5;5;2;5;3;5;4;4;4;Une tenue speciale pour les soirees inoubliables;3;3;2;1;5;Les Maldives ou les Seychelles
25-34 ans;Femme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;4;3;4;3;3;4;3;4;2;5;5;5;5;Une huile de massage parfumee et sensuelle;3;3;5;5;5;Le Mexique
25-34 ans;Homme;Etudiant;1 a 2 semaines;Plus de 10 000 ?;Sejour tout inclus;Faire une seance de sport;2;2;2;2;2;2;2;2;2;5;2;2;2;2;Une playlist privee pour des moments passionnes;2;2;4;2;2;L'Ile Maurice / Jamaique 
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip);Netflix and chill;2;3;3;3;4;4;3;4;4;3;3;3;3;3;Un coffret d'epices pour des surprises culinaires et autres;3;5;1;2;2;Le Bresil
25-34 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Netflix and chill;5;5;3;3;3;3;4;2;2;2;4;2;5;5;Une tenue speciale pour les soirees inoubliables;5;2;4;4;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;Moins d'une semaine;moins de 2000?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);4;4;5;2;5;4;4;4;2;3;3;2;4;5;Une tenue speciale pour les soirees inoubliables;3;1;3;2;3;Une ile paradisiaque peu importe laquelle 
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip);Netflix and chill;5;5;2;4;2;3;4;2;5;5;3;5;5;2;Une huile de massage parfumee et sensuelle;3;5;2;2;2;Bora bora
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Voyage sur mesure;Netflix and chill;5;3;2;4;2;3;5;3;5;4;4;4;4;3;Une tenue speciale pour les soirees inoubliables;2;1;5;5;4;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Tester un nouvel hobbie;3;4;4;3;3;2;4;3;4;4;4;4;4;4;Une tenue speciale pour les soirees inoubliables;2;4;3;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;Plus de 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);4;5;4;2;2;3;5;4;2;3;5;4;2;3;Une huile de massage parfumee et sensuelle;4;4;4;4;4;Une aventure vous attend ! Faire un circuit incluant detente et decouvertes culturelles. 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance de sport;3;3;2;4;4;3;4;4;4;4;3;3;4;5;Une huile de massage parfumee et sensuelle;3;4;4;3;3;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
25-34 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Netflix and chill;5;5;4;3;3;2;4;5;4;4;4;3;3;4;Une huile de massage parfumee et sensuelle;5;3;4;3;4;La Laponi
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance de sport;5;3;3;4;2;4;2;4;3;5;4;1;2;1;Une huile de massage parfumee et sensuelle;3;4;4;3;5;La Polynesie Francaise 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance de sport;5;4;4;3;2;5;5;3;4;3;4;3;5;3;Une huile de massage parfumee et sensuelle;5;3;5;5;4;Le Mexique
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Netflix and chill;4;4;3;4;1;4;5;5;2;2;4;3;1;4;Une huile de massage parfumee et sensuelle;5;2;3;3;4;L'Ile Maurice / Jamaique 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Voyage sur mesure;Visite culturelle;3;5;4;4;2;1;5;1;1;2;5;5;2;2;Une huile de massage parfumee et sensuelle;5;4;4;2;4;Les Maldives ou les Seychelles
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Visite culturelle;3;5;4;5;3;4;4;3;5;4;5;5;5;2;Une playlist privee pour des moments passionnes;2;4;5;3;4;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;4;3;2;2;4;5;4;4;4;4;4;4;3;Une huile de massage parfumee et sensuelle;3;3;4;3;3;Le Zanzibar
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Netflix and chill;5;1;3;1;4;5;5;3;4;4;1;1;5;4;Une huile de massage parfumee et sensuelle;3;1;5;5;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Voyage sur mesure;Tester un nouvel hobbie;5;3;4;4;2;3;4;3;4;3;5;3;4;4;Une playlist privee pour des moments passionnes;3;4;5;5;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Employe;Plus de 3 semaines;Entre 5000 ? et 10 000 ?;Voyage sur mesure;Netflix and chill;3;2;3;3;3;2;2;3;3;3;2;4;3;3;Un coffret d'epices pour des surprises culinaires et autres;4;3;4;3;3;La Malaisie
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance de sport;4;3;2;4;3;3;3;2;2;3;4;3;3;2;Une tenue speciale pour les soirees inoubliables;3;2;3;2;3;La Malaisie
35-44 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;3;4;4;5;4;4;5;5;5;5;5;Une tenue speciale pour les soirees inoubliables;5;3;5;5;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Sans emploi;Plus de 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Croisiere, Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;5;3;2;5;1;5;4;5;5;5;4;Une huile de massage parfumee et sensuelle;3;4;5;5;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Sans emploi;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Netflix and chill;5;5;5;3;5;5;5;2;5;1;5;5;4;5;Une tenue speciale pour les soirees inoubliables;5;1;5;5;5;La Malaisie
18-24 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Croisiere, Voyage sur mesure;Netflix and chill;5;4;4;2;3;3;4;3;4;4;3;4;3;4;Une playlist privee pour des moments passionnes;4;3;3;3;3;Bali
18-24 ans;Femme;Etudiant;Plus de 3 semaines;Plus de 10 000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;3;1;4;4;5;5;1;4;3;1;1;3;5;Une huile de massage parfumee et sensuelle;3;3;5;5;5;La Laponi
35-44 ans;Homme;Technicien ;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance relaxation (massage, manicure, ...);5;4;3;4;4;3;3;4;3;2;2;2;5;2;Une tenue speciale pour les soirees inoubliables;4;4;2;4;4;Rio
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage en itinerance (road trip);Faire une seance de sport;5;4;3;1;5;4;4;3;5;5;3;4;5;4;Une tenue speciale pour les soirees inoubliables;3;3;4;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Employe;2 a 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Visite culturelle;5;4;4;3;5;5;4;1;5;2;5;3;2;4;Une tenue speciale pour les soirees inoubliables;2;1;4;5;5;Les maldives 100% detente 
18-24 ans;Femme;Etudiant;Plus de 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage en itinerance (road trip), Croisiere, Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;5;5;3;4;5;5;4;5;5;5;5;Une tenue speciale pour les soirees inoubliables;5;5;3;5;4;L'Ile Maurice / Jamaique 
35-44 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;3;3;1;4;3;3;2;3;3;4;1;2;2;2;Une huile de massage parfumee et sensuelle;1;1;1;3;3;Paris
18-24 ans;Homme;Employe;2 a 3 semaines;moins de 2000?;Sejour tout inclus;Tester un nouvel hobbie;3;5;3;5;3;4;3;3;4;5;3;3;3;2;Une tenue speciale pour les soirees inoubliables;4;3;4;4;4;Les Maldives ou les Seychelles
18-24 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;4;4;2;4;3;3;4;3;4;1;2;5;4;Une tenue speciale pour les soirees inoubliables;3;1;4;3;5;Une ile paradisiaque peu importe laquelle 
18-24 ans;Homme;Etudiant;Plus de 3 semaines;Entre 5000 ? et 10 000 ?;Voyage en itinerance (road trip), Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;3;3;3;4;3;4;4;4;5;5;4;Une huile de massage parfumee et sensuelle;4;2;4;2;4;Bora bora
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance relaxation (massage, manicure, ...);5;3;3;5;3;5;5;1;5;2;3;3;5;5;Une tenue speciale pour les soirees inoubliables;5;1;4;4;2;La Grece 
18-24 ans;Homme;Etudiant;2 a 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Faire une seance de sport;5;4;4;4;3;5;5;2;3;3;4;2;4;1;Une huile de massage parfumee et sensuelle;2;1;1;5;4;Rio
18-24 ans;Homme;Employe;2 a 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;3;3;4;4;5;2;3;4;4;3;5;4;Une huile de massage parfumee et sensuelle;3;2;5;5;4;La Malaisie
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;3;3;2;4;4;4;2;3;3;3;2;5;5;Une huile de massage parfumee et sensuelle;5;2;4;4;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;Moins d'une semaine;moins de 2000?;Sejour tout inclus;Visite culturelle;5;4;4;5;3;3;3;4;4;4;4;4;3;2;Un coffret d'epices pour des surprises culinaires et autres;4;4;4;5;3;Les Maldives ou les Seychelles
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;3;5;5;3;3;3;3;3;3;4;3;3;4;Une huile de massage parfumee et sensuelle;3;3;3;5;4;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;5;5;5;4;3;5;3;2;5;5;3;3;3;Une huile de massage parfumee et sensuelle;3;3;3;3;3;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Etudiant;Moins d'une semaine;Entre 2000 ? et 5000 ?;Sejour tout inclus;Faire une seance relaxation (massage, manicure, ...);5;3;3;4;3;5;3;1;3;1;4;3;5;3;Une tenue speciale pour les soirees inoubliables;2;1;5;5;4;Une ile paradisiaque peu importe laquelle 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Tester un nouvel hobbie;5;5;5;3;3;3;2;3;3;3;3;2;3;3;Une tenue speciale pour les soirees inoubliables;3;3;4;3;4;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Faire une seance de sport;4;4;4;3;3;3;3;2;3;4;5;3;5;4;Une huile de massage parfumee et sensuelle;3;4;3;2;4;L'Ile Maurice / Jamaique 
18-24 ans;Femme;Etudiant;1 a 2 semaines;moins de 2000?;Sejour tout inclus;Netflix and chill;5;5;3;3;3;3;5;5;1;1;5;2;1;5;Une huile de massage parfumee et sensuelle;5;1;1;1;1;Une ile paradisiaque peu importe laquelle 
18-24 ans;Homme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage en itinerance (road trip);Netflix and chill;3;4;4;4;2;2;4;3;5;4;4;2;3;4;Une playlist privee pour des moments passionnes;1;4;4;4;3;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
25-34 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Faire une seance de sport;5;5;5;5;1;5;5;2;5;4;5;2;5;3;Une huile de massage parfumee et sensuelle;5;1;5;5;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
35-44 ans;Homme;Independant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Visite culturelle;5;5;4;5;1;5;5;1;5;1;5;5;5;1;Un coffret d'epices pour des surprises culinaires et autres;5;1;5;5;5;Une aventure vous attend ! Faire un circuit incluant detente et decouvertes culturelles. 
25-34 ans;Homme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus;Netflix and chill;5;3;5;5;1;5;5;2;5;5;5;1;5;5;Une huile de massage parfumee et sensuelle;5;5;5;5;5;Paris
35-44 ans;Femme;Independant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;5;1;5;5;5;5;5;5;5;4;1;Une playlist privee pour des moments passionnes;5;5;5;5;5;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Femme;Etudiant;2 a 3 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;5;5;5;1;5;5;1;5;5;5;1;5;5;Une huile de massage parfumee et sensuelle;5;5;5;5;5;Les Maldives ou les Seychelles
35-44 ans;Homme;Independant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;5;4;5;1;5;5;1;5;5;5;3;5;5;Une playlist privee pour des moments passionnes;5;5;5;5;5;Malte
45-54 ans;Femme;Independant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Croisiere;Visite culturelle;5;5;3;5;1;5;5;2;5;5;5;5;4;1;Une tenue speciale pour les soirees inoubliables;5;5;5;5;5;Bali
25-34 ans;Homme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Netflix and chill;5;5;5;5;3;5;5;3;4;3;5;1;5;5;Une playlist privee pour des moments passionnes;5;1;5;5;5;Le Bresil
45-54 ans;Femme;Independant;1 a 2 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus, Voyage sur mesure;Visite culturelle;5;5;2;5;1;5;5;2;3;2;5;5;5;1;Une tenue speciale pour les soirees inoubliables;5;1;5;5;5;Une ile paradisiaque peu importe laquelle 
45-54 ans;Homme;Independant;2 a 3 semaines;Entre 5000 ? et 10 000 ?;Sejour tout inclus;Visite culturelle;5;5;5;5;2;5;5;3;3;4;5;4;5;1;Une huile de massage parfumee et sensuelle;5;2;5;5;3;Une grande ville (New York, Tokyo, Istanbul, Seoul,...)
18-24 ans;Homme;Etudiant;Moins d'une semaine;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;4;5;5;3;5;5;3;3;3;5;2;5;4;Une huile de massage parfumee et sensuelle;5;2;5;5;5;Les maldives 100% detente
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;5;5;5;3;5;5;3;4;3;5;2;5;4;Une huile de massage parfumee et sensuelle;5;2;5;5;5;Les Maldives ou les Seychelles
25-34 ans;Homme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Netflix and chill;5;3;5;5;2;5;5;2;3;3;5;2;5;5;Une huile de massage parfumee et sensuelle;5;2;5;5;5;Une ile paradisiaque peu importe laquelle 
18-24 ans;Femme;Employe;1 a 2 semaines;Entre 2000 ? et 5000 ?;Voyage sur mesure;Faire une seance relaxation (massage, manicure, ...);5;5;5;3;4;4;5;3;2;4;4;3;4;4;Une huile de massage parfumee et sensuelle;4;3;3;3;3;Les Maldives ou les Seychelles
18-24 ans;Femme;Etudiant;1 a 2 semaines;Entre 2000 ? et 5000 ?;Sejour tout inclus, Voyage sur mesure;Faire une seance de sport;5;4;5;4;4;3;3;5;4;3;5;5;5;4;Une playlist privee pour des moments passionnes;3;3;4;4;4;Les Maldives ou les Seychelles
